,Most Recent Health Inspection More Than 2 Years Ago,Overall Rating,Health Inspection Rating,Staffing Rating,RN Staffing Rating,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,performance_id
6424,False,4.0,2.0,4.0,5.0,78.0,2,0,1,$10693.00,0,1,5940
6425,False,5.0,4.0,3.0,3.0,42.0,0,6,0,$0.00,0,0,5941
6426,False,4.0,3.0,3.0,3.0,19.333,0,0,0,$0.00,0,0,5942
6427,False,3.0,3.0,3.0,2.0,49.333,6,21,0,$0.00,0,0,5943
6429,False,2.0,2.0,2.0,3.0,74.0,1,9,0,$0.00,0,0,5944
6430,False,1.0,2.0,3.0,3.0,35.333,1,6,0,$0.00,0,0,5945
6431,False,4.0,3.0,4.0,3.0,43.667,8,0,0,$0.00,0,0,5946
6433,False,2.0,2.0,2.0,4.0,64.667,2,9,0,$0.00,0,0,5947
6434,False,2.0,2.0,2.0,4.0,77.333,15,6,0,$0.00,0,0,5948
6435,False,4.0,3.0,5.0,5.0,56.0,4,3,0,$0.00,0,0,5949
6437,False,5.0,4.0,5.0,5.0,30.0,1,0,0,$0.00,0,0,5950
6438,False,4.0,3.0,4.0,4.0,44.0,1,0,1,$14000.00,0,1,5951
6439,False,1.0,1.0,3.0,3.0,111.5,0,13,2,$14008.00,0,2,5952
6440,False,3.0,2.0,4.0,4.0,28.667,0,0,1,$18900.00,0,1,5953
6441,False,4.0,4.0,4.0,5.0,25.333,2,2,0,$0.00,0,0,5954
6442,False,1.0,1.0,4.0,4.0,107.0,2,2,2,$98735.00,0,2,5955
6443,False,5.0,4.0,4.0,5.0,35.333,1,2,0,$0.00,0,0,5956
6444,False,1.0,1.0,3.0,3.0,92.667,1,2,0,$0.00,0,0,5957
6445,False,4.0,4.0,3.0,2.0,41.333,1,5,2,$21646.00,0,2,5958
6446,False,4.0,4.0,3.0,2.0,29.333,0,11,0,$0.00,0,0,5959
6447,False,3.0,2.0,3.0,3.0,84.333,10,1,1,$25643.00,0,1,5960
6448,False,4.0,3.0,4.0,3.0,44.0,1,0,0,$0.00,0,0,5961
6450,False,2.0,1.0,5.0,5.0,106.667,1,12,0,$0.00,0,0,5962
6451,False,4.0,3.0,4.0,3.0,22.667,2,0,0,$0.00,0,0,5963
6452,False,5.0,5.0,4.0,5.0,2.667,0,1,0,$0.00,0,0,5964
6453,False,2.0,1.0,4.0,4.0,64.0,1,1,2,$26975.00,0,2,5965
6454,False,2.0,1.0,4.0,4.0,109.333,1,47,0,$0.00,0,0,5966
6455,False,2.0,2.0,3.0,2.0,50.667,1,1,0,$0.00,0,0,5967
6456,False,4.0,3.0,4.0,5.0,47.333,1,2,0,$0.00,0,0,5968
6457,False,5.0,4.0,3.0,4.0,36.667,2,0,0,$0.00,0,0,5969
6458,False,5.0,5.0,3.0,3.0,18.667,0,0,0,$0.00,0,0,5970
6459,False,1.0,1.0,2.0,2.0,75.333,4,4,1,$14850.00,0,1,5971
6461,False,1.0,1.0,2.0,1.0,167.833,3,5,2,$111540.00,1,3,5972
6462,False,3.0,3.0,2.0,2.0,63.333,4,14,0,$0.00,0,0,5973
6463,False,3.0,3.0,3.0,2.0,58.0,0,8,0,$0.00,0,0,5974
6464,False,5.0,4.0,4.0,4.0,26.0,0,2,0,$0.00,0,0,5975
6465,False,2.0,2.0,3.0,3.0,77.333,3,6,0,$0.00,0,0,5976
6466,False,1.0,2.0,2.0,2.0,33.333,1,2,0,$0.00,0,0,5977
6467,False,4.0,4.0,,,38.0,2,0,0,$0.00,0,0,5978
6468,False,4.0,3.0,3.0,4.0,60.0,9,15,0,$0.00,0,0,5979
6469,False,3.0,2.0,4.0,3.0,40.667,0,1,0,$0.00,0,0,5980
6470,False,3.0,2.0,3.0,3.0,66.0,4,10,0,$0.00,0,0,5981
6471,False,3.0,2.0,4.0,4.0,64.667,4,7,0,$0.00,0,0,5982
6474,False,5.0,4.0,5.0,5.0,24.667,2,0,0,$0.00,0,0,5983
6475,False,2.0,1.0,3.0,5.0,102.667,12,6,1,$15925.00,1,2,5984
6476,False,2.0,2.0,3.0,3.0,70.0,18,2,1,$8190.00,0,1,5985
6477,False,5.0,4.0,4.0,5.0,41.333,4,0,0,$0.00,0,0,5986
6478,False,2.0,3.0,,,26.0,0,0,0,$0.00,0,0,5987
6480,False,5.0,5.0,3.0,5.0,7.333,0,1,1,$975.00,0,1,5988
6481,False,4.0,3.0,4.0,4.0,51.333,6,15,0,$0.00,0,0,5989
6482,False,4.0,2.0,5.0,5.0,80.667,7,5,0,$0.00,0,0,5990
6483,False,1.0,1.0,1.0,1.0,201.667,3,22,1,$17518.00,0,1,5991
6485,False,5.0,5.0,3.0,5.0,8.0,0,0,0,$0.00,0,0,5992
6486,False,1.0,1.0,4.0,3.0,127.333,7,31,0,$0.00,0,0,5993
6487,False,3.0,2.0,4.0,4.0,72.0,9,6,2,$38903.00,0,2,5994
6488,False,3.0,3.0,3.0,3.0,57.333,6,1,0,$0.00,0,0,5995
6489,False,5.0,3.0,4.0,3.0,63.333,2,3,0,$0.00,0,0,5996
6490,False,2.0,1.0,1.0,2.0,76.0,0,2,0,$0.00,0,0,5997
6491,False,5.0,4.0,5.0,5.0,35.333,3,4,0,$0.00,0,0,5998
6492,False,5.0,4.0,5.0,5.0,41.0,2,1,2,$27528.00,0,2,5999
6493,False,2.0,2.0,3.0,3.0,35.333,0,1,0,$0.00,0,0,6000
6494,False,4.0,3.0,4.0,4.0,58.0,3,9,1,$19890.00,0,1,6001
6495,False,4.0,3.0,4.0,4.0,17.333,1,0,1,$29250.00,0,1,6002
6496,False,3.0,2.0,5.0,5.0,66.667,11,6,1,$19250.00,0,1,6003
6497,False,2.0,2.0,,,90.0,26,22,2,$17193.00,0,2,6004
6498,False,5.0,4.0,5.0,5.0,28.0,4,3,0,$0.00,0,0,6005
6499,False,1.0,1.0,3.0,2.0,127.667,10,8,3,$6760.00,0,3,6006
6500,False,1.0,1.0,2.0,2.0,120.0,5,12,1,$16315.00,1,2,6007
6501,False,4.0,5.0,4.0,3.0,2.667,0,0,0,$0.00,0,0,6008
6502,False,4.0,4.0,4.0,4.0,40.667,2,4,0,$0.00,0,0,6009
6503,False,1.0,1.0,2.0,4.0,50.0,1,0,1,$1950.00,0,1,6010
6504,False,1.0,1.0,3.0,3.0,142.833,29,5,2,$14561.00,1,3,6011
