,Most Recent Health Inspection More Than 2 Years Ago,Overall Rating,Health Inspection Rating,Staffing Rating,RN Staffing Rating,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties
0,False,1.0,1.0,3.0,4.0,48.667,0,3,1,$6045.00,0,1
1,False,5.0,4.0,4.0,4.0,15.333,0,0,0,$0.00,0,0
2,False,4.0,3.0,5.0,5.0,25.333,0,3,1,$189763.00,0,1
3,False,4.0,4.0,4.0,3.0,13.333,0,0,0,$0.00,0,0
4,False,2.0,2.0,3.0,3.0,32.667,0,0,0,$0.00,0,0
5,False,2.0,1.0,4.0,4.0,52.0,0,1,0,$0.00,0,0
6,False,5.0,4.0,2.0,1.0,14.667,0,0,0,$0.00,0,0
7,False,5.0,5.0,4.0,4.0,5.333,0,0,0,$0.00,0,0
8,False,5.0,3.0,5.0,5.0,23.333,0,1,0,$0.00,0,0
9,False,3.0,2.0,4.0,4.0,44.667,0,2,1,$6500.00,0,1
10,False,4.0,2.0,5.0,5.0,30.0,0,1,0,$0.00,0,0
11,False,3.0,2.0,2.0,3.0,32.667,0,0,0,$0.00,0,0
12,False,4.0,4.0,2.0,3.0,17.333,0,0,0,$0.00,0,0
13,False,3.0,2.0,5.0,5.0,40.667,0,2,1,$4100.00,0,1
14,False,4.0,4.0,3.0,2.0,19.333,0,0,0,$0.00,0,0
15,False,1.0,1.0,3.0,2.0,263.0,0,0,1,$183105.00,1,2
16,False,5.0,5.0,4.0,3.0,10.667,0,0,0,$0.00,0,0
17,False,1.0,2.0,1.0,2.0,34.667,0,1,0,$0.00,0,0
18,False,5.0,4.0,5.0,5.0,15.333,0,0,1,$3640.00,0,1
19,False,5.0,3.0,4.0,4.0,23.333,0,5,0,$0.00,0,0
20,False,1.0,1.0,3.0,4.0,72.667,0,4,1,$44400.00,0,1
21,False,5.0,5.0,3.0,2.0,10.667,0,0,0,$0.00,0,0
22,False,3.0,2.0,4.0,4.0,36.667,0,0,0,$0.00,0,0
23,False,4.0,4.0,3.0,2.0,18.0,0,0,0,$0.00,0,0
24,False,3.0,2.0,3.0,2.0,44.667,0,4,0,$0.00,0,0
25,False,3.0,2.0,4.0,3.0,38.0,0,1,0,$0.00,0,0
26,False,1.0,1.0,3.0,2.0,63.333,0,0,0,$0.00,0,0
27,False,2.0,2.0,4.0,4.0,36.667,0,1,0,$0.00,0,0
28,False,2.0,2.0,4.0,3.0,33.167,0,0,1,$52343.00,0,1
29,False,5.0,5.0,4.0,4.0,12.0,0,0,0,$0.00,0,0
30,False,4.0,4.0,1.0,1.0,20.667,0,0,0,$0.00,0,0
31,False,5.0,5.0,,,14.667,0,0,0,$0.00,0,0
32,False,5.0,5.0,4.0,4.0,10.667,0,0,0,$0.00,0,0
33,False,5.0,5.0,5.0,5.0,12.667,0,2,0,$0.00,0,0
34,False,2.0,1.0,4.0,4.0,102.667,0,19,1,$2560.00,0,1
35,False,4.0,4.0,4.0,5.0,38.0,0,0,0,$0.00,0,0
36,False,3.0,3.0,3.0,5.0,48.667,0,4,0,$0.00,0,0
37,False,5.0,3.0,4.0,5.0,51.333,0,8,0,$0.00,0,0
38,False,3.0,2.0,5.0,5.0,80.667,1,4,0,$0.00,0,0
39,False,5.0,4.0,4.0,4.0,18.0,0,0,0,$0.00,0,0
40,False,1.0,2.0,3.0,3.0,46.667,0,7,0,$0.00,0,0
41,False,4.0,2.0,5.0,5.0,32.667,0,0,0,$0.00,0,0
42,False,5.0,4.0,4.0,4.0,21.333,0,0,0,$0.00,0,0
43,False,1.0,1.0,1.0,1.0,63.333,0,5,1,$6240.00,0,1
44,False,5.0,3.0,4.0,4.0,11.333,0,0,0,$0.00,0,0
45,False,2.0,3.0,1.0,1.0,16.667,0,0,0,$0.00,0,0
46,False,5.0,5.0,3.0,3.0,0.0,0,0,0,$0.00,0,0
47,False,5.0,5.0,5.0,5.0,12.0,0,0,0,$0.00,0,0
48,False,4.0,3.0,5.0,5.0,23.333,1,0,0,$0.00,0,0
49,False,3.0,2.0,4.0,5.0,50.667,11,6,1,$4095.00,0,1
50,False,2.0,1.0,4.0,4.0,111.667,8,10,2,$45143.00,0,2
51,False,3.0,4.0,1.0,2.0,19.333,1,0,0,$0.00,0,0
52,False,2.0,3.0,3.0,3.0,30.0,3,0,0,$0.00,0,0
53,False,4.0,3.0,2.0,1.0,21.333,0,1,0,$0.00,0,0
54,False,4.0,4.0,3.0,3.0,12.667,0,0,0,$0.00,0,0
55,False,5.0,5.0,2.0,3.0,5.333,0,0,0,$0.00,0,0
56,False,1.0,1.0,,,84.167,1,4,1,$36628.00,0,1
57,False,2.0,1.0,2.0,4.0,62.0,1,5,1,$7040.00,0,1
58,False,4.0,3.0,4.0,5.0,20.0,0,5,0,$0.00,0,0
59,False,3.0,2.0,4.0,4.0,45.167,1,3,2,$10173.00,0,2
60,False,5.0,4.0,4.0,5.0,14.0,1,0,0,$0.00,0,0
61,False,2.0,1.0,5.0,5.0,87.833,1,0,1,$26520.00,1,2
62,False,1.0,1.0,1.0,2.0,102.5,3,6,1,$121030.00,1,2
63,False,4.0,3.0,5.0,5.0,24.0,0,0,0,$0.00,0,0
64,False,4.0,2.0,4.0,5.0,46.667,2,0,0,$0.00,0,0
65,False,4.0,3.0,5.0,5.0,24.0,0,0,0,$0.00,0,0
66,False,5.0,4.0,3.0,2.0,10.0,0,0,0,$0.00,0,0
67,False,5.0,5.0,4.0,4.0,4.0,0,0,0,$0.00,0,0
68,False,2.0,2.0,5.0,5.0,43.333,5,2,0,$0.00,0,0
69,False,5.0,4.0,5.0,5.0,46.667,0,0,0,$0.00,0,0
70,False,3.0,3.0,5.0,5.0,19.333,0,0,0,$0.00,0,0
71,False,5.0,5.0,3.0,4.0,1.333,0,0,0,$0.00,0,0
72,False,2.0,2.0,3.0,2.0,114.333,0,1,1,$5558.00,0,1
73,False,3.0,4.0,2.0,4.0,48.0,0,0,0,$0.00,0,0
74,False,2.0,2.0,2.0,1.0,91.333,5,0,2,$20750.00,2,4
75,False,5.0,5.0,,,27.333,0,0,0,$0.00,1,1
76,False,5.0,4.0,5.0,5.0,35.333,5,0,1,$14500.00,1,2
77,False,3.0,2.0,3.0,3.0,124.667,2,9,2,$12376.00,0,2
78,False,1.0,1.0,2.0,4.0,161.5,3,0,1,$2763.00,1,2
79,False,3.0,3.0,3.0,4.0,75.333,0,0,0,$0.00,0,0
80,False,4.0,3.0,2.0,3.0,57.333,2,20,0,$0.00,0,0
81,False,2.0,3.0,1.0,2.0,56.0,0,3,0,$0.00,0,0
82,False,5.0,5.0,2.0,3.0,21.333,1,4,0,$0.00,0,0
83,False,1.0,1.0,2.0,2.0,171.167,9,4,0,$0.00,0,0
84,False,1.0,1.0,4.0,5.0,257.333,14,9,2,$31005.00,2,4
85,False,5.0,4.0,3.0,3.0,28.0,0,0,0,$0.00,0,0
86,False,3.0,4.0,4.0,4.0,50.0,0,0,0,$0.00,0,0
87,False,5.0,4.0,5.0,5.0,50.667,1,1,0,$0.00,0,0
88,False,4.0,4.0,4.0,4.0,41.333,1,2,0,$0.00,0,0
89,False,4.0,4.0,4.0,4.0,12.667,0,0,0,$0.00,0,0
90,False,1.0,1.0,2.0,3.0,234.833,2,4,1,$72280.00,1,2
91,False,4.0,3.0,4.0,4.0,79.333,0,1,0,$0.00,0,0
92,False,2.0,1.0,4.0,5.0,139.167,7,11,1,$2730.00,1,2
93,False,1.0,1.0,4.0,4.0,195.833,4,9,2,$142740.00,2,4
94,False,1.0,1.0,3.0,3.0,185.167,6,15,1,$58504.00,1,2
95,False,1.0,1.0,3.0,4.0,243.667,2,5,1,$4063.00,1,2
96,False,1.0,1.0,3.0,4.0,188.667,3,7,0,$0.00,0,0
97,False,1.0,1.0,3.0,2.0,192.667,2,4,2,$77558.00,1,3
98,False,4.0,3.0,4.0,4.0,68.0,2,0,0,$0.00,0,0
99,False,2.0,2.0,3.0,3.0,113.333,7,6,0,$0.00,0,0
100,False,3.0,2.0,5.0,5.0,102.0,2,8,2,$27650.00,1,3
101,False,5.0,4.0,5.0,5.0,50.0,3,1,0,$0.00,0,0
102,False,3.0,3.0,3.0,5.0,74.667,2,5,0,$0.00,0,0
103,False,5.0,5.0,,,6.0,0,0,0,$0.00,0,0
104,False,5.0,5.0,5.0,5.0,20.0,0,2,0,$0.00,0,0
105,False,4.0,3.0,4.0,5.0,58.0,0,0,0,$0.00,0,0
106,False,4.0,3.0,4.0,3.0,51.333,0,0,0,$0.00,0,0
107,False,4.0,3.0,,,38.667,0,2,0,$0.00,0,0
108,False,2.0,2.0,3.0,3.0,60.667,0,4,0,$0.00,0,0
109,False,1.0,1.0,3.0,3.0,245.667,1,1,1,$54860.00,0,1
110,False,5.0,5.0,4.0,3.0,5.333,0,0,0,$0.00,0,0
111,False,3.0,3.0,3.0,3.0,37.333,1,1,0,$0.00,0,0
112,False,4.0,4.0,2.0,2.0,11.333,1,0,0,$0.00,0,0
113,False,2.0,2.0,2.0,3.0,48.667,1,3,0,$0.00,0,0
114,False,3.0,4.0,3.0,3.0,22.0,0,0,0,$0.00,0,0
115,False,3.0,3.0,3.0,4.0,29.333,0,0,0,$0.00,0,0
116,False,5.0,3.0,4.0,4.0,26.0,2,0,2,$27500.00,0,2
117,False,1.0,2.0,1.0,1.0,48.0,0,3,0,$0.00,0,0
118,False,5.0,5.0,3.0,3.0,9.333,1,3,0,$0.00,0,0
119,False,2.0,3.0,3.0,3.0,32.667,1,1,0,$0.00,0,0
120,False,1.0,3.0,1.0,2.0,40.667,0,2,0,$0.00,0,0
121,False,5.0,5.0,5.0,5.0,4.8,0,0,0,$0.00,0,0
122,False,,,,,,0,0,0,$0.00,0,0
123,False,5.0,5.0,,,2.667,0,0,0,$0.00,0,0
124,False,3.0,2.0,4.0,4.0,39.333,0,3,0,$0.00,0,0
125,False,2.0,2.0,4.0,5.0,49.333,0,3,0,$0.00,1,1
126,False,3.0,3.0,3.0,3.0,30.0,0,7,0,$0.00,0,0
127,False,4.0,5.0,5.0,5.0,7.333,0,3,0,$0.00,0,0
128,False,2.0,3.0,1.0,1.0,21.333,0,5,0,$0.00,0,0
129,False,1.0,1.0,3.0,3.0,56.833,0,4,1,$145893.00,0,1
130,False,2.0,2.0,3.0,3.0,36.667,0,4,0,$0.00,0,0
131,False,3.0,3.0,3.0,3.0,32.0,0,5,0,$0.00,0,0
132,False,1.0,2.0,1.0,2.0,42.667,0,1,1,$28503.00,0,1
133,False,3.0,4.0,3.0,3.0,18.667,0,0,0,$0.00,0,0
134,False,3.0,3.0,3.0,2.0,20.667,0,2,0,$0.00,1,1
135,False,4.0,4.0,2.0,2.0,20.667,0,1,0,$0.00,0,0
136,False,5.0,4.0,2.0,3.0,15.333,0,2,0,$0.00,0,0
137,False,3.0,3.0,3.0,3.0,21.333,2,5,0,$0.00,0,0
138,False,3.0,4.0,1.0,2.0,10.667,0,2,0,$0.00,0,0
139,False,1.0,2.0,3.0,3.0,36.667,0,1,0,$0.00,0,0
140,False,2.0,3.0,1.0,1.0,30.0,0,2,0,$0.00,0,0
141,False,2.0,1.0,4.0,3.0,74.0,0,2,1,$4095.00,1,2
142,False,3.0,3.0,3.0,2.0,28.667,0,0,1,$13163.00,0,1
143,False,2.0,2.0,3.0,2.0,48.0,0,5,0,$0.00,0,0
144,False,1.0,1.0,4.0,3.0,60.333,0,0,1,$5850.00,0,1
145,False,1.0,3.0,1.0,1.0,24.0,0,5,0,$0.00,0,0
146,False,4.0,4.0,3.0,3.0,17.333,0,1,0,$0.00,0,0
147,False,2.0,2.0,2.0,1.0,46.0,0,4,0,$0.00,0,0
148,False,2.0,3.0,3.0,2.0,20.667,0,1,0,$0.00,0,0
149,False,2.0,3.0,1.0,1.0,28.0,0,0,0,$0.00,0,0
150,False,3.0,4.0,3.0,2.0,16.0,0,0,0,$0.00,0,0
151,False,1.0,2.0,2.0,1.0,50.0,0,0,0,$0.00,0,0
152,False,3.0,5.0,1.0,2.0,4.0,0,0,0,$0.00,0,0
153,False,5.0,5.0,3.0,4.0,5.333,0,5,0,$0.00,0,0
154,False,2.0,3.0,3.0,2.0,24.667,0,0,0,$0.00,0,0
155,False,2.0,3.0,3.0,3.0,24.667,0,4,0,$0.00,0,0
156,False,4.0,4.0,3.0,2.0,18.667,0,4,0,$0.00,0,0
157,False,2.0,3.0,1.0,2.0,28.667,0,4,0,$0.00,0,0
158,False,3.0,3.0,4.0,4.0,20.667,0,2,0,$0.00,0,0
159,False,1.0,1.0,3.0,3.0,88.667,0,7,0,$0.00,0,0
160,False,4.0,5.0,5.0,5.0,0.0,0,0,0,$0.00,0,0
161,False,5.0,5.0,4.0,4.0,4.0,0,0,0,$0.00,0,0
162,False,4.0,3.0,4.0,4.0,44.667,7,0,0,$0.00,0,0
163,False,4.0,3.0,5.0,5.0,22.0,0,0,0,$0.00,0,0
164,False,5.0,5.0,4.0,5.0,3.333,0,0,0,$0.00,0,0
165,False,5.0,4.0,5.0,5.0,12.0,1,0,0,$0.00,0,0
166,False,5.0,3.0,4.0,4.0,16.667,0,0,0,$0.00,0,0
167,False,3.0,2.0,4.0,5.0,28.333,2,2,0,$0.00,0,0
168,False,4.0,2.0,4.0,5.0,75.333,3,15,0,$0.00,0,0
169,False,2.0,1.0,4.0,4.0,147.667,9,21,0,$0.00,0,0
170,False,1.0,1.0,1.0,2.0,111.0,9,9,0,$0.00,1,1
171,False,3.0,2.0,5.0,5.0,88.667,14,4,0,$0.00,0,0
172,False,5.0,5.0,4.0,4.0,15.333,0,0,0,$0.00,0,0
173,False,5.0,4.0,5.0,5.0,31.333,9,1,0,$0.00,0,0
174,False,2.0,1.0,4.0,4.0,99.333,13,14,0,$0.00,0,0
175,False,1.0,1.0,3.0,3.0,108.0,6,3,1,$226422.00,0,1
176,False,2.0,2.0,3.0,3.0,75.333,8,2,1,$1235.00,0,1
177,False,3.0,2.0,3.0,3.0,66.5,6,7,0,$0.00,0,0
178,False,1.0,1.0,2.0,3.0,164.667,12,12,0,$0.00,0,0
179,False,4.0,3.0,2.0,1.0,52.0,8,29,0,$0.00,0,0
180,False,1.0,1.0,4.0,4.0,265.833,30,37,1,$73809.00,2,3
181,False,2.0,2.0,3.0,4.0,69.333,2,21,0,$0.00,1,1
182,False,2.0,2.0,2.0,2.0,88.0,2,34,0,$0.00,0,0
183,False,4.0,4.0,3.0,4.0,21.333,3,2,0,$0.00,0,0
184,False,5.0,5.0,3.0,5.0,6.0,0,3,0,$0.00,0,0
185,False,3.0,3.0,3.0,3.0,57.333,5,4,0,$0.00,0,0
186,False,2.0,2.0,3.0,3.0,58.667,4,3,0,$0.00,0,0
187,False,2.0,1.0,4.0,4.0,93.333,0,0,0,$0.00,0,0
188,False,5.0,4.0,4.0,4.0,19.333,3,2,0,$0.00,0,0
189,False,3.0,3.0,2.0,4.0,40.667,2,2,0,$0.00,0,0
190,False,5.0,5.0,4.0,5.0,11.333,0,0,0,$0.00,0,0
191,False,5.0,3.0,4.0,4.0,36.667,12,2,0,$0.00,0,0
192,False,2.0,2.0,3.0,3.0,85.333,4,8,0,$0.00,0,0
193,False,5.0,5.0,5.0,5.0,5.333,0,0,0,$0.00,0,0
194,False,4.0,3.0,3.0,3.0,52.0,1,1,0,$0.00,0,0
195,False,3.0,2.0,4.0,4.0,62.667,8,5,0,$0.00,0,0
196,False,4.0,3.0,3.0,4.0,56.0,20,6,0,$0.00,0,0
197,False,5.0,5.0,4.0,3.0,12.0,1,0,0,$0.00,0,0
198,False,4.0,4.0,4.0,4.0,30.0,1,14,0,$0.00,0,0
199,False,4.0,4.0,2.0,3.0,26.667,1,0,0,$0.00,0,0
200,False,5.0,4.0,4.0,3.0,27.333,0,1,0,$0.00,0,0
201,False,1.0,1.0,2.0,3.0,178.5,11,8,1,$4778.00,0,1
202,False,1.0,3.0,1.0,1.0,56.0,5,2,0,$0.00,0,0
203,False,5.0,4.0,4.0,5.0,28.0,0,3,0,$0.00,0,0
204,False,1.0,1.0,2.0,2.0,140.0,4,8,1,$5818.00,0,1
205,False,4.0,4.0,3.0,3.0,35.333,2,0,0,$0.00,0,0
206,False,5.0,5.0,,,11.333,6,2,0,$0.00,0,0
207,False,5.0,5.0,5.0,5.0,4.667,0,0,0,$0.00,0,0
208,False,5.0,5.0,5.0,5.0,4.0,0,0,0,$0.00,0,0
209,False,3.0,2.0,2.0,2.0,58.0,11,9,0,$0.00,0,0
210,False,4.0,4.0,5.0,5.0,21.333,0,0,0,$0.00,0,0
211,False,4.0,3.0,3.0,5.0,45.333,2,4,0,$0.00,0,0
212,False,2.0,1.0,4.0,4.0,118.667,1,5,0,$0.00,0,0
213,False,3.0,4.0,4.0,5.0,34.0,14,4,0,$0.00,0,0
214,False,4.0,3.0,2.0,4.0,47.333,5,1,0,$0.00,0,0
215,False,4.0,4.0,4.0,5.0,35.2,6,8,0,$0.00,0,0
216,False,5.0,5.0,4.0,4.0,10.4,0,1,0,$0.00,0,0
217,False,2.0,2.0,3.0,3.0,32.0,1,1,1,$24863.00,0,1
218,False,5.0,5.0,4.0,4.0,2.0,0,0,0,$0.00,0,0
219,False,4.0,3.0,4.0,5.0,20.0,1,1,2,$16640.00,0,2
220,False,4.0,3.0,4.0,5.0,18.0,0,0,0,$0.00,0,0
221,False,2.0,2.0,2.0,1.0,44.667,0,1,1,$2000.00,0,1
222,False,2.0,1.0,4.0,4.0,86.0,2,5,3,$6302.00,0,3
223,False,5.0,5.0,3.0,5.0,1.333,0,0,0,$0.00,0,0
224,False,1.0,1.0,4.0,4.0,52.667,2,1,0,$0.00,0,0
225,False,2.0,2.0,3.0,3.0,30.0,0,2,2,$45110.00,0,2
226,False,5.0,5.0,5.0,5.0,1.333,0,0,0,$0.00,0,0
227,False,4.0,3.0,4.0,4.0,26.0,0,0,1,$1235.00,0,1
228,False,3.0,2.0,4.0,5.0,33.333,0,0,0,$0.00,0,0
229,False,4.0,4.0,3.0,4.0,8.667,1,0,1,$1625.00,0,1
230,False,3.0,2.0,4.0,4.0,38.0,2,7,0,$0.00,0,0
231,False,3.0,2.0,4.0,5.0,27.333,0,0,1,$17160.00,0,1
232,False,5.0,4.0,3.0,2.0,8.0,0,0,0,$0.00,0,0
233,False,3.0,2.0,5.0,5.0,35.333,0,0,1,$40748.00,0,1
234,False,5.0,5.0,4.0,4.0,2.0,0,0,0,$0.00,0,0
235,False,4.0,4.0,2.0,4.0,10.667,0,0,0,$0.00,0,0
236,False,2.0,1.0,4.0,5.0,82.333,1,1,1,$23563.00,0,1
237,False,4.0,3.0,4.0,4.0,15.333,1,2,0,$0.00,0,0
238,False,5.0,5.0,,,0.0,0,0,0,$0.00,0,0
239,False,3.0,2.0,4.0,5.0,46.0,3,0,1,$66000.00,0,1
240,False,4.0,4.0,4.0,5.0,8.667,0,0,0,$0.00,0,0
241,False,5.0,5.0,3.0,4.0,3.333,1,0,0,$0.00,0,0
242,False,5.0,4.0,5.0,5.0,8.667,1,0,0,$0.00,0,0
243,False,5.0,4.0,4.0,5.0,12.667,0,0,1,$2500.00,0,1
244,False,4.0,3.0,4.0,4.0,26.0,0,0,0,$0.00,0,0
245,False,,,,,,0,0,0,$0.00,0,0
246,False,5.0,3.0,5.0,5.0,14.4,0,0,0,$0.00,0,0
247,False,,,,,,0,0,0,$0.00,0,0
248,False,3.0,3.0,5.0,5.0,51.833,1,0,0,$0.00,0,0
249,False,4.0,4.0,3.0,3.0,28.0,4,1,0,$0.00,0,0
250,False,3.0,2.0,4.0,4.0,87.667,0,4,1,$18720.00,1,2
251,False,4.0,4.0,3.0,3.0,40.0,1,1,0,$0.00,0,0
252,False,3.0,3.0,3.0,4.0,61.333,2,3,0,$0.00,0,0
253,False,1.0,1.0,3.0,3.0,119.333,11,31,3,$43583.00,0,3
254,False,5.0,4.0,5.0,5.0,35.5,3,0,1,$3900.00,0,1
255,False,3.0,2.0,4.0,4.0,79.333,18,2,0,$0.00,0,0
256,False,5.0,5.0,3.0,2.0,17.333,0,0,0,$0.00,0,0
257,False,4.0,2.0,4.0,3.0,75.167,3,1,2,$18948.00,0,2
258,False,4.0,3.0,4.0,3.0,57.5,1,2,1,$24245.00,1,2
259,False,3.0,4.0,4.0,4.0,28.0,5,0,1,$8550.00,1,2
260,False,5.0,4.0,5.0,5.0,29.333,1,0,0,$0.00,0,0
261,False,1.0,2.0,1.0,1.0,87.333,1,14,1,$9653.00,0,1
262,False,4.0,3.0,4.0,5.0,48.667,5,12,0,$0.00,0,0
263,False,2.0,2.0,2.0,2.0,94.0,12,5,2,$26195.00,0,2
264,False,4.0,4.0,1.0,2.0,30.667,0,3,1,$2503.00,0,1
265,False,4.0,5.0,1.0,1.0,10.667,0,0,0,$0.00,0,0
266,False,2.0,2.0,2.0,3.0,82.0,10,11,2,$26650.00,0,2
267,False,5.0,4.0,5.0,5.0,32.667,2,0,0,$0.00,0,0
268,False,3.0,2.0,4.0,3.0,74.0,1,11,1,$5720.00,0,1
269,False,3.0,3.0,2.0,3.0,49.333,2,5,0,$0.00,0,0
270,False,5.0,3.0,4.0,4.0,47.333,0,5,0,$0.00,0,0
271,False,4.0,4.0,4.0,5.0,24.667,0,0,0,$0.00,0,0
272,False,5.0,5.0,4.0,4.0,10.0,0,0,0,$0.00,0,0
273,False,1.0,1.0,2.0,2.0,70.333,0,0,0,$0.00,0,0
274,False,3.0,2.0,4.0,4.0,42.0,0,0,0,$0.00,0,0
275,False,1.0,1.0,3.0,3.0,68.0,1,1,0,$0.00,0,0
276,False,2.0,1.0,5.0,5.0,93.0,0,2,1,$26488.00,0,1
277,False,3.0,2.0,4.0,3.0,49.667,0,0,0,$0.00,0,0
278,False,2.0,2.0,4.0,5.0,37.0,0,1,0,$0.00,0,0
279,False,5.0,5.0,3.0,4.0,4.667,0,0,0,$0.00,0,0
280,False,1.0,1.0,3.0,4.0,101.333,0,2,3,$9700.00,0,3
281,False,4.0,3.0,4.0,5.0,34.667,0,1,0,$0.00,0,0
282,False,4.0,4.0,3.0,3.0,14.667,0,2,0,$0.00,0,0
283,False,2.0,3.0,3.0,3.0,18.667,0,0,0,$0.00,0,0
284,False,5.0,3.0,4.0,3.0,28.0,0,1,0,$0.00,0,0
285,False,3.0,3.0,2.0,3.0,26.667,1,0,0,$0.00,0,0
286,False,3.0,3.0,4.0,4.0,20.0,0,1,0,$0.00,0,0
287,False,4.0,4.0,3.0,3.0,18.667,1,0,0,$0.00,0,0
288,False,4.0,3.0,4.0,3.0,28.0,0,0,0,$0.00,0,0
289,False,4.0,3.0,4.0,3.0,40.667,1,1,0,$0.00,0,0
290,False,4.0,3.0,4.0,4.0,28.667,0,0,0,$0.00,0,0
291,False,4.0,2.0,4.0,4.0,48.667,0,1,0,$0.00,0,0
292,False,2.0,1.0,4.0,4.0,126.167,0,3,1,$11765.00,1,2
293,False,5.0,5.0,5.0,5.0,14.0,0,0,0,$0.00,0,0
294,False,5.0,5.0,4.0,4.0,6.667,0,0,0,$0.00,0,0
295,False,5.0,4.0,5.0,5.0,22.667,0,1,0,$0.00,0,0
296,False,4.0,3.0,4.0,4.0,34.0,3,13,0,$0.00,0,0
297,False,4.0,2.0,4.0,5.0,48.667,2,0,0,$0.00,0,0
298,False,5.0,4.0,3.0,2.0,20.0,0,0,0,$0.00,0,0
299,False,2.0,1.0,2.0,3.0,69.333,11,9,1,$715.00,1,2
300,False,3.0,2.0,4.0,4.0,50.667,1,2,0,$0.00,0,0
301,False,2.0,2.0,3.0,2.0,38.0,0,3,0,$0.00,0,0
302,False,1.0,1.0,3.0,4.0,64.5,0,2,1,$7900.00,0,1
303,False,3.0,4.0,4.0,5.0,26.0,0,1,0,$0.00,0,0
304,False,4.0,3.0,3.0,4.0,20.667,0,0,0,$0.00,0,0
305,False,4.0,3.0,2.0,3.0,22.0,0,0,0,$0.00,0,0
306,False,3.0,2.0,3.0,3.0,40.0,0,3,1,$12870.00,0,1
307,False,3.0,3.0,3.0,3.0,16.667,0,0,0,$0.00,0,0
308,False,5.0,5.0,1.0,2.0,2.0,0,0,0,$0.00,0,0
309,False,2.0,1.0,4.0,4.0,68.667,0,11,0,$0.00,0,0
310,False,4.0,2.0,4.0,4.0,37.333,0,4,0,$0.00,0,0
311,False,3.0,3.0,3.0,5.0,26.667,0,2,0,$0.00,0,0
312,False,3.0,3.0,2.0,2.0,75.333,3,0,1,$975.00,0,1
313,False,3.0,2.0,5.0,5.0,82.0,0,1,0,$0.00,1,1
314,False,3.0,4.0,,,18.667,0,0,0,$0.00,0,0
315,False,3.0,3.0,3.0,4.0,77.0,0,1,3,$10250.00,0,3
316,False,4.0,2.0,5.0,5.0,128.0,0,0,2,$17323.00,1,3
317,False,3.0,2.0,3.0,3.0,28.0,0,1,0,$0.00,0,0
318,False,4.0,4.0,4.0,4.0,10.667,0,0,0,$0.00,0,0
319,False,3.0,4.0,1.0,2.0,11.333,1,0,0,$0.00,0,0
320,False,3.0,2.0,3.0,3.0,26.667,0,0,0,$0.00,0,0
321,False,4.0,4.0,1.0,1.0,6.667,0,2,0,$0.00,0,0
322,False,1.0,1.0,3.0,2.0,82.667,3,16,0,$0.00,0,0
323,False,5.0,4.0,3.0,3.0,11.333,0,0,0,$0.00,0,0
324,False,5.0,5.0,4.0,3.0,2.667,0,1,0,$0.00,0,0
325,False,5.0,4.0,3.0,3.0,12.667,0,0,0,$0.00,0,0
326,False,5.0,4.0,4.0,3.0,9.333,0,0,0,$0.00,0,0
327,False,3.0,2.0,5.0,5.0,48.667,0,0,0,$0.00,0,0
328,False,2.0,2.0,3.0,3.0,46.0,0,8,2,$11331.00,0,2
329,False,1.0,1.0,2.0,3.0,49.333,0,4,0,$0.00,0,0
330,False,3.0,4.0,1.0,1.0,8.667,0,0,0,$0.00,0,0
331,False,3.0,3.0,2.0,3.0,17.167,0,2,0,$0.00,0,0
332,False,2.0,3.0,3.0,3.0,21.333,0,0,0,$0.00,0,0
333,False,2.0,1.0,4.0,4.0,55.667,2,1,0,$0.00,1,1
334,False,3.0,2.0,3.0,3.0,34.667,0,2,1,$3200.00,0,1
335,False,4.0,3.0,4.0,3.0,27.333,0,0,0,$0.00,0,0
336,False,3.0,2.0,4.0,4.0,32.0,1,10,1,$9913.00,0,1
337,False,2.0,1.0,4.0,4.0,72.667,0,16,2,$4355.00,0,2
338,False,1.0,1.0,2.0,3.0,102.333,1,5,2,$66593.00,0,2
339,False,2.0,3.0,1.0,2.0,24.667,0,11,0,$0.00,0,0
340,False,4.0,4.0,4.0,3.0,8.0,0,2,0,$0.00,0,0
341,False,1.0,2.0,3.0,3.0,32.667,1,2,0,$0.00,0,0
342,False,3.0,3.0,,,20.667,0,0,0,$0.00,0,0
343,False,5.0,3.0,4.0,4.0,19.333,0,0,0,$0.00,0,0
344,False,4.0,3.0,4.0,3.0,22.667,0,0,0,$0.00,0,0
345,False,5.0,4.0,3.0,3.0,10.0,0,0,0,$0.00,0,0
346,False,4.0,2.0,4.0,4.0,31.333,0,6,0,$0.00,0,0
347,False,5.0,5.0,1.0,2.0,1.333,0,0,0,$0.00,0,0
348,False,2.0,3.0,3.0,2.0,19.333,2,0,1,$2080.00,0,1
349,False,4.0,4.0,4.0,4.0,7.333,0,0,0,$0.00,0,0
350,False,4.0,4.0,2.0,2.0,11.333,0,0,0,$0.00,0,0
351,False,3.0,2.0,4.0,4.0,45.333,0,1,0,$0.00,0,0
352,False,1.0,1.0,1.0,2.0,53.333,2,4,0,$0.00,0,0
353,False,2.0,2.0,2.0,2.0,28.667,0,0,0,$0.00,0,0
354,False,5.0,5.0,3.0,3.0,6.667,0,0,0,$0.00,0,0
355,False,4.0,4.0,2.0,1.0,58.667,0,0,0,$0.00,0,0
