,Most Recent Health Inspection More Than 2 Years Ago,Overall Rating,Health Inspection Rating,Staffing Rating,RN Staffing Rating,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties
5125,False,4.0,3.0,5.0,5.0,55.333,0,3,0,$0.00,0,0
5126,False,3.0,2.0,4.0,4.0,92.667,0,0,0,$0.00,1,1
5127,False,1.0,1.0,1.0,2.0,254.5,0,15,0,$0.00,1,1
5128,False,2.0,1.0,4.0,4.0,163.333,2,1,1,$10758.00,0,1
5129,False,4.0,3.0,4.0,4.0,60.667,1,2,0,$0.00,0,0
5130,False,4.0,4.0,4.0,5.0,47.333,0,0,0,$0.00,0,0
5131,False,3.0,2.0,5.0,5.0,91.333,0,2,0,$0.00,0,0
5132,False,5.0,4.0,2.0,4.0,34.667,0,2,0,$0.00,0,0
5133,False,5.0,4.0,4.0,5.0,40.667,0,4,0,$0.00,0,0
5134,False,5.0,4.0,4.0,3.0,29.333,0,0,1,$5600.00,0,1
5135,False,1.0,1.0,3.0,2.0,211.333,3,2,1,$10790.00,1,2
5136,False,3.0,2.0,4.0,3.0,137.667,0,12,0,$0.00,0,0
5137,False,1.0,1.0,2.0,2.0,298.0,2,21,2,$32403.00,1,3
5138,False,4.0,3.0,4.0,3.0,59.333,0,4,0,$0.00,0,0
5139,False,1.0,1.0,2.0,2.0,300.667,7,3,2,$22003.00,1,3
5140,False,4.0,4.0,5.0,5.0,45.333,1,4,0,$0.00,0,0
5141,False,4.0,3.0,4.0,4.0,72.667,3,0,1,$27008.00,1,2
5142,False,4.0,4.0,5.0,5.0,46.667,4,0,0,$0.00,0,0
5143,False,2.0,2.0,5.0,5.0,105.333,4,1,0,$0.00,0,0
5144,False,3.0,2.0,4.0,5.0,113.5,3,3,0,$0.00,0,0
5145,False,2.0,2.0,4.0,4.0,120.0,3,2,1,$23400.00,1,2
5146,False,4.0,3.0,5.0,5.0,70.0,0,1,0,$0.00,0,0
5147,False,4.0,3.0,4.0,3.0,68.0,0,8,1,$2470.00,0,1
5148,False,2.0,1.0,5.0,5.0,142.167,1,4,0,$0.00,1,1
5149,False,5.0,4.0,4.0,4.0,46.0,0,1,0,$0.00,0,0
5150,False,2.0,2.0,2.0,1.0,99.667,3,2,0,$0.00,0,0
5151,False,4.0,5.0,2.0,2.0,4.667,1,0,0,$0.00,0,0
5152,False,4.0,4.0,4.0,4.0,34.0,0,1,0,$0.00,0,0
5153,False,4.0,3.0,4.0,3.0,64.667,0,2,1,$7605.00,0,1
5154,False,4.0,3.0,5.0,5.0,62.0,4,0,0,$0.00,0,0
5155,False,2.0,2.0,4.0,4.0,88.0,0,0,0,$0.00,0,0
5156,False,4.0,4.0,5.0,5.0,44.667,1,0,0,$0.00,0,0
5157,False,4.0,4.0,4.0,4.0,40.0,2,1,0,$0.00,0,0
5158,False,3.0,2.0,3.0,3.0,110.0,0,1,0,$0.00,0,0
5159,False,4.0,3.0,5.0,5.0,57.333,1,1,0,$0.00,0,0
5160,False,3.0,3.0,5.0,5.0,65.333,7,0,0,$0.00,0,0
5161,False,3.0,3.0,4.0,3.0,58.667,0,2,0,$0.00,0,0
5162,False,3.0,3.0,3.0,3.0,69.333,1,8,0,$0.00,0,0
5163,False,2.0,1.0,4.0,4.0,556.5,5,21,0,$0.00,0,0
5164,False,4.0,5.0,4.0,3.0,8.0,0,0,0,$0.00,0,0
5165,False,2.0,3.0,3.0,4.0,25.333,0,0,0,$0.00,0,0
5166,False,5.0,4.0,5.0,5.0,13.333,0,0,0,$0.00,0,0
5167,False,4.0,5.0,5.0,5.0,8.0,0,0,0,$0.00,0,0
5168,False,2.0,3.0,2.0,3.0,25.333,0,1,1,$800.00,1,2
5169,False,4.0,4.0,2.0,3.0,15.333,0,0,0,$0.00,0,0
5170,False,1.0,1.0,3.0,2.0,272.0,1,1,2,$622700.00,2,4
5171,False,4.0,2.0,4.0,4.0,114.0,1,0,2,$148590.00,1,3
5172,False,4.0,3.0,4.0,4.0,58.0,1,0,0,$0.00,0,0
5173,False,2.0,1.0,4.0,4.0,139.667,1,10,1,$47483.00,0,1
5174,False,3.0,2.0,3.0,5.0,89.167,1,8,1,$4713.00,0,1
5175,False,5.0,4.0,5.0,5.0,50.0,0,1,0,$0.00,0,0
5176,False,5.0,4.0,4.0,4.0,34.667,0,0,0,$0.00,0,0
5177,False,5.0,4.0,5.0,5.0,50.667,1,2,0,$0.00,0,0
5178,False,,,,,,0,0,0,$0.00,0,0
5179,False,3.0,3.0,3.0,4.0,68.0,0,4,0,$0.00,0,0
5180,False,2.0,3.0,1.0,1.0,72.8,0,0,1,$4778.00,0,1
5181,False,1.0,1.0,5.0,5.0,204.5,0,0,1,$975.00,1,2
5182,False,4.0,5.0,4.0,4.0,22.0,0,1,0,$0.00,0,0
5183,False,1.0,1.0,4.0,4.0,196.0,2,5,0,$0.00,0,0
5184,False,1.0,1.0,2.0,1.0,223.333,6,15,0,$0.00,0,0
5185,False,,,,,,2,0,0,$0.00,0,0
5186,False,2.0,1.0,4.0,3.0,217.5,10,29,2,$141960.00,1,3
5187,False,4.0,5.0,5.0,5.0,29.333,0,0,0,$0.00,0,0
5188,False,,,,,,0,7,0,$0.00,0,0
5189,False,2.0,2.0,4.0,4.0,104.8,0,26,0,$0.00,0,0
5190,False,3.0,3.0,2.0,4.0,58.667,1,0,0,$0.00,0,0
5191,False,1.0,1.0,3.0,3.0,164.2,3,9,0,$0.00,0,0
5192,False,5.0,4.0,3.0,3.0,39.333,0,1,0,$0.00,0,0
5193,False,3.0,4.0,3.0,5.0,50.0,0,1,0,$0.00,0,0
5194,False,4.0,4.0,1.0,2.0,35.333,0,3,0,$0.00,0,0
5195,False,5.0,4.0,5.0,5.0,42.667,1,0,0,$0.00,0,0
5196,False,2.0,1.0,4.0,4.0,279.833,7,0,0,$0.00,0,0
5197,False,4.0,4.0,4.0,4.0,46.667,1,2,0,$0.00,0,0
5198,False,5.0,4.0,5.0,5.0,44.667,0,0,0,$0.00,0,0
5199,False,2.0,2.0,4.0,4.0,93.333,2,1,0,$0.00,0,0
5200,False,5.0,4.0,5.0,5.0,54.667,0,0,0,$0.00,0,0
5201,False,3.0,2.0,5.0,5.0,115.333,1,4,0,$0.00,0,0
5202,False,5.0,4.0,4.0,4.0,52.667,0,3,0,$0.00,0,0
5203,False,5.0,5.0,4.0,4.0,26.667,1,1,0,$0.00,0,0
5204,False,5.0,4.0,5.0,5.0,41.333,0,0,0,$0.00,0,0
5205,False,2.0,1.0,2.0,4.0,144.0,3,0,0,$0.00,0,0
5206,False,3.0,3.0,5.0,5.0,69.333,0,3,0,$0.00,0,0
5207,False,4.0,3.0,2.0,3.0,68.0,0,0,0,$0.00,0,0
5208,False,5.0,3.0,5.0,5.0,62.0,0,0,0,$0.00,0,0
5209,False,4.0,3.0,5.0,5.0,68.0,2,5,0,$0.00,0,0
5210,False,4.0,3.0,5.0,5.0,58.0,1,1,0,$0.00,0,0
5211,False,3.0,3.0,3.0,5.0,62.667,0,0,0,$0.00,0,0
5212,False,5.0,4.0,5.0,5.0,51.333,1,0,0,$0.00,0,0
5213,False,3.0,2.0,4.0,4.0,92.0,5,1,0,$0.00,0,0
5214,False,3.0,3.0,5.0,5.0,62.0,0,0,0,$0.00,0,0
